Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Terrain,Khobar,GMC,Automatic,Saudi,Semi Full,2013,3.6,220,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,231000,0
FJ,Makkah,Toyota,Automatic,Saudi,Full,2017,4.0,144000,0
Edge,Riyadh,Ford,Automatic,Saudi,Full,2012,1.0,290,0
Camry,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016,2.5,174000,0
C,Riyadh,Mercedes,Automatic,Saudi,Full,2019,2.0,28000,0
CT-S,Najran,Cadillac,Automatic,Saudi,Full,2009,3.6,222,0
Cadenza,Al-Medina,Kia,Automatic,Other,Semi Full,2018,3.3,148,0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2017,2.4,128336,0
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2020,2.7,19200,0
Land Cruiser,Riyadh,Toyota,Automatic,Unknown,Full,2013,4.6,200000,0
D-MAX,Riyadh,Isuzu,Manual,Saudi,Standard,2008,2.5,570713,0
Corolla,Qassim,Toyota,Automatic,Other,Semi Full,2013,1.6,450000,0
Expedition,Riyadh,Ford,Automatic,Unknown,Semi Full,2005,5.4,210000,0
Camry,Dammam,Toyota,Automatic,Other,Full,1997,2.5,400000,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,116000,0
A8,Riyadh,Audi,Automatic,Gulf Arabic,Semi Full,2016,3.0,125000,0
6,Riyadh,Mazda,Automatic,Saudi,Standard,2018,2.5,11000,0
Land Cruiser,Abha,Toyota,Manual,Saudi,Semi Full,1994,9.0,402000,0
Grand Cherokee,Makkah,Jeep,Automatic,Saudi,Full,2015,6.4,119000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2015,4.6,255000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,93000,0
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2013,8.0,186000,0
ES,Jeddah,Lexus,Automatic,Other,Full,2017,3.5,61000,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2013,4.0,172,0
Hilux,Dammam,Toyota,Manual,Gulf Arabic,Semi Full,2016,1.4,261000,0
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,1988,5.3,150000,0
Azkarra,Qassim,Geely,Automatic,Saudi,Full,2021,1.5,783,0
XF,Dammam,Jaguar,Automatic,Saudi,Semi Full,2011,3.5,161000,0
CLA,Yanbu,Mercedes,Automatic,Other,Semi Full,2015,2.0,133,0
FJ,Dammam,Toyota,Automatic,Saudi,Full,2010,4.0,295,0
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2019,1.5,43210,0
Patrol,Yanbu,Nissan,Manual,Saudi,Full,1989,4.0,300000,0
Patrol,Hail,Nissan,Manual,Saudi,Standard,2016,1.2,250000,0
Pathfinder,Dammam,Nissan,Manual,Saudi,Full,2002,3.5,300000,0
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2010,5.3,114000,0
Patrol,Dammam,Nissan,Automatic,Saudi,Full,2015,4.8,287,0
Attrage,Sakaka,Mitsubishi,Automatic,Saudi,Standard,2020,1.2,45000,0
Senta fe,Khobar,Hyundai,Automatic,Saudi,Full,2014,3.3,200203,0
Armada,Khobar,Nissan,Automatic,Saudi,Semi Full,2015,1.6,190000,0
Yaris,Jeddah,Toyota,Automatic,Gulf Arabic,Standard,2018,1.5,59600,0
Corolla,Makkah,Toyota,Automatic,Saudi,Standard,2012,1.6,356500,0
Yukon,Taef,GMC,Automatic,Saudi,Full,2006,5.3,109000,0
Prado,Jubail,Toyota,Manual,Saudi,Semi Full,2011,2.7,165000,0
Camry,Riyadh,Toyota,Manual,Saudi,Standard,2005,3.1,500000,0
Accord,Al-Ahsa,Honda,Automatic,Gulf Arabic,Standard,2008,2.4,100,0
Wingle,Qassim,Great Wall,Manual,Saudi,Full,2021,2.0,18000,0
Carnival,Aseer,Kia,Automatic,Saudi,Standard,2015,3.5,144653,0
Fusion,Aseer,Ford,Automatic,Saudi,Semi Full,2015,2.5,63000,0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,87000,0
Dyna,Jeddah,Isuzu,Manual,Saudi,Standard,2016,3.0,400000,0
Rio,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.4,112000,0
Suburban,Taef,Chevrolet,Automatic,Other,Full,1995,5.3,200,0
Patrol,Makkah,Nissan,Automatic,Saudi,Full,2006,1.0,200000,0
Odyssey,Jeddah,Honda,Automatic,Saudi,Standard,2016,3.5,84000,0
Yukon,Hail,GMC,Automatic,Saudi,Full,2011,5.3,333000,0
Flex,Al-Jouf,Ford,Automatic,Saudi,Full,2015,6.0,134800,0
F150,Khobar,Ford,Automatic,Saudi,Semi Full,2014,5.0,169000,0
Armada,Riyadh,Nissan,Automatic,Saudi,Full,2014,5.6,284686,0
6,Dammam,Mazda,Automatic,Other,Semi Full,2016,2.5,198,0
Datsun,Al-Medina,Nissan,Manual,Unknown,Full,2016,2.4,193000,0
Lancer,Hail,Mitsubishi,Automatic,Saudi,Standard,2016,1.6,120000,0
Tahoe,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2012,1.0,172000,0
A8,Riyadh,Audi,Automatic,Saudi,Full,2015,5.0,56000,0
Yukon,Dammam,GMC,Automatic,Saudi,Semi Full,2002,5.3,297000,0
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Semi Full,2017,3.5,147000,0
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,176000,0
POS24,Aseer,Mercedes,Manual,Other,Full,1983,8.0,9999999,0
Cadenza,Riyadh,Kia,Automatic,Saudi,Full,2017,3.5,60314,0
Charger,Al-Medina,Dodge,Automatic,Saudi,Full,2018,5.7,15000,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,1.3,132560,0
Silverado,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2013,8.0,197000,0
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2020,4.8,17000,0
Passat,Riyadh,Volkswagen,Automatic,Saudi,Full,2014,2.5,239,0
Kaptiva,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2021,1.5,18750,0
Sonata,Al-Medina,Hyundai,Automatic,Saudi,Standard,2019,2.4,87000,0
Sonata,Dammam,Hyundai,Automatic,Saudi,Standard,2018,2.4,10000,0
Yukon,Jeddah,GMC,Automatic,Other,Full,2016,5.3,250000,0
Spark,Riyadh,Chevrolet,Automatic,Other,Standard,2017,1.4,88739,0
Fusion,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,2.5,200000,0
The 7,Jeddah,BMW,Automatic,Gulf Arabic,Standard,2014,2.0,182,0
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2016,5.3,222000,0
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,200000,0
CS95,Hail,Changan,Automatic,Saudi,Full,2021,2.0,31000,0
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2015,5.3,137000,0
Charger,Jeddah,Dodge,Automatic,Saudi,Semi Full,2020,3.6,38000,0
Sentra,Riyadh,Nissan,Manual,Saudi,Standard,2019,1.6,90000,0
G,Jeddah,INFINITI,Automatic,Gulf Arabic,Full,2007,6.0,210000,0
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.6,125000,0
Tahoe,Al-Jouf,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,4691232,0
Land Cruiser 70,Tabouk,Toyota,Manual,Saudi,Semi Full,2011,4.0,300,0
EC7,Riyadh,Geely,Manual,Saudi,Full,2014,1.4,190000,0
Land Cruiser Pickup,Al-Medina,Toyota,Manual,Saudi,Semi Full,2016,4.8,198000,0
Explorer,Riyadh,Ford,Automatic,Saudi,Standard,2009,3.5,215000,0
Sonata,Qassim,Hyundai,Automatic,Saudi,Standard,2018,2.2,184,0
Land Cruiser,Al-Medina,Toyota,Automatic,Gulf Arabic,Semi Full,2013,4.6,260000,0
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Full,2015,2.0,300,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,34000,0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,6.0,186000,0
RX5,Riyadh,MG,Automatic,Saudi,Full,2019,2.0,49000,0
Hilux,Khobar,Toyota,Manual,Gulf Arabic,Full,2013,2.7,152000,0
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,111000,0
The 7,Riyadh,BMW,Automatic,Gulf Arabic,Full,2020,2.0,22000,0
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2016,2.0,180700,0
Prado,Dammam,Toyota,Automatic,Saudi,Semi Full,2018,2.7,243300,0
Navara,Abha,Nissan,Manual,Other,Semi Full,2013,2.5,300,0
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,231000,0
Accord,Jeddah,Honda,Automatic,Saudi,Full,2019,2.5,19000,0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2021,5.7,3500,0
Prado,Qassim,Toyota,Automatic,Saudi,Semi Full,2014,1.8,287,0
Victoria,Besha,Ford,Automatic,Saudi,Full,2004,4.6,260,0
New Yorker,Riyadh,Chrysler,Automatic,Other,Full,1978,6.6,52000,0
Azera,Dammam,Hyundai,Automatic,Saudi,Standard,2018,3.0,86000,0
Taurus,Taef,Ford,Automatic,Saudi,Semi Full,2014,6.0,265,0
Explorer,Aseer,Ford,Automatic,Saudi,Full,2007,4.5,300000,0
K5,Jazan,Kia,Automatic,Saudi,Semi Full,2021,2.5,7000,0
LX,Taef,Lexus,Automatic,Other,Full,2014,5.7,305,0
Charger,Qassim,Dodge,Automatic,Saudi,Full,2018,3.2,99000,0
Hilux,Sabya,Toyota,Manual,Saudi,Full,2002,2.7,100,0
Patrol,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,4.0,100,0
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Full,2003,5.3,10000,0
3,Qassim,Mazda,Automatic,Gulf Arabic,Standard,2016,1.5,287000,0
Yukon,Al-Medina,GMC,Automatic,Saudi,Semi Full,2011,5.3,366,0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.6,45000,0
ES,Riyadh,Lexus,Automatic,Saudi,Semi Full,2021,3.5,6174,0
Charger,Qassim,Dodge,Automatic,Saudi,Semi Full,2017,3.6,88000,0
Hilux,Jeddah,Toyota,Manual,Saudi,Standard,1997,2.7,1000000,0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,2.0,194000,0
X,Riyadh,BMW,Automatic,Saudi,Full,2018,2.0,47000,0
Altima,Al-Ahsa,Nissan,Automatic,Saudi,Full,2010,2.5,236660,0
Land Cruiser,Aseer,Toyota,Manual,Saudi,Semi Full,1997,4.6,400000,0
Land Cruiser Pickup,Hail,Toyota,Manual,Saudi,Full,2001,4.5,420,0
Malibu,Riyadh,Chevrolet,Automatic,Saudi,Full,2013,3.5,185000,0
Edge,Dammam,Ford,Automatic,Saudi,Full,2007,3.5,270000,0
ES,Jeddah,Lexus,Automatic,Saudi,Full,2013,3.5,326000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,161000,0
Hilux,Jeddah,Toyota,Manual,Saudi,Full,2019,2.7,83000,0
S,Riyadh,Mercedes,Automatic,Saudi,Full,2006,3.5,290000,0
ES,Besha,Lexus,Automatic,Other,Full,2013,3.5,180,0
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2013,2.4,440000,0
Explorer,Taef,Ford,Automatic,Saudi,Semi Full,2010,4.0,246000,0
Furniture,Al-Medina,Toyota,Automatic,Saudi,Standard,2015,2.7,221000,0
Patrol,Dammam,Nissan,Automatic,Saudi,Semi Full,2015,4.0,175000,0
CX5,Riyadh,Mazda,Automatic,Saudi,Full,2020,2.5,35000,0
Altima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2020,2.5,18000,0
QX,Khobar,INFINITI,Automatic,Saudi,Full,2014,3.7,160000,0
Ciocca,Dammam,Toyota,Automatic,Saudi,Semi Full,2013,5.7,210000,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,2.4,94000,0
Van,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,33000,0
Seven,Jeddah,Changan,Automatic,Saudi,Standard,2022,1.1,2500,0
Camry,Riyadh,Toyota,Automatic,Unknown,Standard,2016,2.5,267000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Standard,2003,2.7,100,0
Other,Al-Ahsa,Suzuki,Manual,Other,Full,2014,1.0,25000,0
LS,Jeddah,Lexus,Automatic,Saudi,Full,2014,4.6,22400,0
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2002,1.5,500000,0
Senta fe,Jubail,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,3.4,120000,0
FJ,Makkah,Toyota,Automatic,Other,Full,2012,4.0,69000,0
Land Cruiser,Jeddah,Toyota,Automatic,Gulf Arabic,Full,2020,4.6,50000,0
Mohave,Jazan,Kia,Automatic,Saudi,Full,2014,3.6,284,0
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2017,2.4,117059,0
Marquis,Hafar Al-Batin,Ford,Automatic,Other,Full,2006,4.6,200000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2006,4.6,360000,0
Senta fe,Qassim,Hyundai,Automatic,Gulf Arabic,Semi Full,2016,3.5,97000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,309,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,4.6,199,0
Camry,Makkah,Toyota,Automatic,Saudi,Full,2015,2.5,112506,0
S,Riyadh,Mercedes,Automatic,Unknown,Full,2006,3.0,347000,0
Patrol,Qassim,Nissan,Automatic,Saudi,Full,2016,4.0,167,0
Yukon,Arar,GMC,Automatic,Saudi,Standard,2012,5.3,187800,0
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2020,4.0,25000,0
The 7,Qassim,BMW,Automatic,Saudi,Semi Full,2015,1.6,122,0
LS,Dammam,Lexus,Automatic,Saudi,Full,2003,4.6,200000,0
Datsun,Riyadh,Nissan,Manual,Saudi,Semi Full,2013,1.6,171549,0
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Full,2021,4.0,200,0
Land Cruiser,Al-Ahsa,Toyota,Automatic,Gulf Arabic,Full,2017,4.6,90000,0
ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,48000,0
CLA,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,2000,0
Land Cruiser,Tabouk,Toyota,Automatic,Saudi,Full,2016,1.2,17000,0
FJ,Najran,Toyota,Automatic,Other,Full,2015,4.0,320,0
The 7,Jeddah,BMW,Automatic,Saudi,Full,2004,2.0,240,0
Hilux,Riyadh,Toyota,Manual,Unknown,Full,2014,2.7,270000,0
Patrol,Riyadh,Nissan,Manual,Saudi,Standard,2003,4.0,228000,0
Charger,Riyadh,Dodge,Automatic,Other,Standard,2014,3.6,240000,0
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2020,4.7,25000,0
Suburban,Jazan,Chevrolet,Automatic,Other,Full,2008,5.3,300000,0
Yukon,Dammam,GMC,Automatic,Saudi,Semi Full,2005,5.3,450000,0
Azera,Riyadh,Hyundai,Manual,Saudi,Semi Full,2012,3.0,290000,0
Expedition,Najran,Ford,Automatic,Saudi,Semi Full,2018,5.4,91000,0
Range Rover,Dammam,Land Rover,Automatic,Saudi,Full,2019,4.0,35000,0
Datsun,Aseer,Nissan,Manual,Saudi,Standard,1986,2.4,463,0
Defender,Dammam,Land Rover,Manual,Gulf Arabic,Semi Full,2013,4.0,28000,0
Carnival,Riyadh,Kia,Automatic,Saudi,Full,2008,4.0,270000,0
Taurus,Al-Medina,Ford,Automatic,Saudi,Semi Full,2016,3.5,233,0
Land Cruiser,Qassim,Toyota,Automatic,Gulf Arabic,Semi Full,1999,4.5,640000,0
Taurus,Riyadh,Ford,Automatic,Unknown,Standard,2015,3.5,175000,0
Tahoe,Makkah,Chevrolet,Automatic,Saudi,Semi Full,2007,4.7,176000,0
H100,Qassim,Hyundai,Automatic,Other,Full,2016,4.0,145000,0
X,Dammam,BMW,Automatic,Saudi,Full,2011,5.0,205000,0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2014,5.4,246000,0
Suburban,Aseer,GMC,Automatic,Other,Standard,1994,5.3,3700562,0
Charger,Najran,Dodge,Automatic,Saudi,Full,2012,3.0,147000,0
S,Riyadh,Mercedes,Automatic,Saudi,Full,2016,4.7,95165,0
Rush,Al-Medina,Toyota,Automatic,Saudi,Full,2020,1.5,12000,0
Echo Sport,Dammam,Ford,Automatic,Other,Standard,2015,1.5,159000,0
6,Riyadh,Mazda,Automatic,Saudi,Standard,2020,2.5,36000,0
Silverado,Riyadh,Chevrolet,Automatic,Saudi,Full,2012,5.3,350000,0
Previa,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2010,4.0,300,0
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Standard,2020,5.3,18000,0
Marquis,Al-Medina,Ford,Automatic,Other,Semi Full,2004,4.6,200000,0
Furniture,Dammam,Toyota,Automatic,Saudi,Standard,2014,2.7,160000,0
Edge,Riyadh,Ford,Automatic,Saudi,Semi Full,2008,3.5,146000,0
Senta fe,Aseer,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,245000,0
Camaro,Aseer,Chevrolet,Automatic,Other,Full,2014,3.6,182,0
Range Rover,Dammam,Land Rover,Automatic,Other,Full,2019,5.0,3100,0
VTC,Besha,Nissan,Manual,Saudi,Semi Full,2016,4.8,136000,0
Sonata,Aseer,Hyundai,Automatic,Saudi,Full,2012,2.4,28000,0
Caprice,Khobar,Chevrolet,Automatic,Saudi,Semi Full,2012,6.0,100000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,6.2,386000,0
H1,Qassim,Hyundai,Automatic,Saudi,Standard,2016,2.4,125000,0
Tahoe,Al-Medina,Chevrolet,Automatic,Saudi,Standard,2020,4.0,9000,0
Hilux,Hail,Toyota,Manual,Saudi,Semi Full,2015,4.0,170000,0
Camry,Dammam,Toyota,Automatic,Gulf Arabic,Standard,2017,2.5,150000,0
Hilux,Al-Medina,Toyota,Manual,Saudi,Standard,2021,2.7,3500,0
Armada,Hafar Al-Batin,Nissan,Automatic,Saudi,Full,2007,8.0,250000,0
Cadenza,Hafar Al-Batin,Kia,Automatic,Saudi,Full,2018,3.3,120,0
Yukon,Abha,GMC,Automatic,Other,Standard,2007,5.3,355000,0
Fusion,Dammam,Ford,Automatic,Saudi,Full,2014,2.5,118000,0
Patrol,Qassim,Nissan,Automatic,Saudi,Semi Full,2013,8.0,234000,0
Camry,Dammam,Toyota,Automatic,Saudi,Full,2020,2.5,11800,0
Bora,Riyadh,Volkswagen,Automatic,Other,Full,2004,1.6,150000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2016,4.0,155000,0
Silverado,Qassim,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,380,0
FJ,Makkah,Toyota,Automatic,Saudi,Semi Full,2014,4.0,164,0
Hilux,Hail,Toyota,Manual,Saudi,Full,2016,4.0,13200,0
Hilux,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,68700,0
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2016,5.7,113000,0
Acadia,Khobar,GMC,Automatic,Other,Standard,2011,3.6,264000,0
Other,Khobar,Other,Manual,Other,Semi Full,2019,2.4,1000,0
Land Cruiser,Aseer,Toyota,Automatic,Saudi,Full,2018,4.8,58000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2009,5.3,465000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,200000,0
X,Khobar,BMW,Automatic,Saudi,Full,2014,4.4,124000,0
Cressida,Aseer,Toyota,Manual,Saudi,Semi Full,1986,4.5,480000,0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2009,5.3,309000,0
Prado,Khobar,Toyota,Automatic,Saudi,Semi Full,2012,4.0,311236,0
LX,Riyadh,Lexus,Automatic,Other,Standard,1999,1.0,300,0
Azera,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2017,3.0,75000,0
Land Cruiser 70,Tabouk,Toyota,Manual,Gulf Arabic,Semi Full,2016,4.0,100,0
Camry,Jeddah,Toyota,Automatic,Saudi,Full,2020,3.5,13500,0
Land Cruiser,Aseer,Toyota,Manual,Saudi,Full,2006,4.6,283,0
Explorer,Riyadh,Ford,Automatic,Saudi,Semi Full,2018,3.5,15000,0
Carnival,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,168000,0
Sunny,Dammam,Nissan,Automatic,Gulf Arabic,Standard,2018,1.5,59700,0
H6,Jeddah,HAVAL,Automatic,Saudi,Full,2021,2.0,45000,0
Accord,Makkah,Honda,Automatic,Gulf Arabic,Full,2015,3.5,110,0
6,Dammam,Mazda,Automatic,Gulf Arabic,Semi Full,2016,2.5,134000,0
Impala,Jeddah,Chevrolet,Automatic,Saudi,Full,2015,3.6,170,0
Corolla Cross,Jeddah,Toyota,Manual,Saudi,Semi Full,2009,1.6,430000,0
Carenz,Dammam,Kia,Automatic,Gulf Arabic,Full,2014,8.0,150000,0
Hilux,Dammam,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,188,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2014,5.7,196000,0
Mustang,Jeddah,Ford,Automatic,Other,Standard,2013,2.3,180000,0
ES,Riyadh,Lexus,Automatic,Saudi,Standard,2021,2.5,13000,0
Suburban,Al-Medina,Chevrolet,Automatic,Saudi,Semi Full,2012,5.3,454000,0
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2008,5.3,256,0
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2016,5.0,35500,0
Taurus,Dammam,Ford,Automatic,Saudi,Semi Full,2016,3.5,248000,0
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2017,2.4,300000,0
Land Cruiser Pickup,Jeddah,Toyota,Manual,Saudi,Semi Full,2014,4.0,118000,0
Yukon,Riyadh,GMC,Automatic,Other,Standard,2007,1.0,300,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2020,2.7,62000,0
Camry,Al-Medina,Toyota,Manual,Other,Semi Full,2000,1.8,800000,0
Yukon,Al-Ahsa,GMC,Automatic,Saudi,Semi Full,2013,5.3,232,0
Suburban,Al-Ahsa,Chevrolet,Automatic,Saudi,Full,2007,5.3,226853,0
Land Cruiser Pickup,Dammam,Nissan,Manual,Saudi,Full,2013,4.8,311000,0
LX,Riyadh,Lexus,Automatic,Saudi,Full,2021,5.7,2000,0
Camry,Riyadh,Toyota,Automatic,Other,Semi Full,2006,2.4,200000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2013,4.6,25000,0
Taurus,Riyadh,Ford,Automatic,Saudi,Semi Full,2018,3.5,60000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2015,2.7,30000,0
POS24,Al-Medina,Mercedes,Manual,Saudi,Full,1975,8.0,22552,0
Aveo,Riyadh,Chevrolet,Automatic,Saudi,Standard,2011,1.6,21110,0
Accent,Abha,Hyundai,Automatic,Saudi,Standard,2019,1.4,94000,0
Patrol,Najran,Nissan,Automatic,Saudi,Full,2016,4.0,196,0
Suburban,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015,5.3,165,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,4.6,288000,0
Range Rover,Riyadh,Land Rover,Automatic,Saudi,Full,2012,5.0,155000,0
Hilux,Riyadh,Toyota,Manual,Saudi,Semi Full,2020,2.7,56748,0
Silverado,Dammam,Chevrolet,Automatic,Unknown,Semi Full,2012,5.3,300000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2014,5.7,165000,0
DTS,Riyadh,Cadillac,Automatic,Saudi,Full,2008,5.7,150000,0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2007,1.3,1111111,0
Marquis,Al-Ahsa,Ford,Automatic,Other,Standard,1999,4.6,300000,0
Azera,Arar,Hyundai,Automatic,Saudi,Semi Full,2021,2.5,3700,0
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2013,5.3,322000,0
The 7,Riyadh,BMW,Automatic,Saudi,Standard,2010,2.0,352000,0
FJ,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2020,4.0,15000,0
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,60000,0
Fluence,Riyadh,Renault,Automatic,Saudi,Standard,2014,1.5,150000,0
Aurion,Aseer,Toyota,Automatic,Saudi,Full,2013,3.5,32300,0
Yaris,Dammam,Toyota,Manual,Saudi,Standard,2014,1.4,128400,0
Elantra,Al-Medina,Hyundai,Automatic,Saudi,Semi Full,2015,1.6,276,0
Land Cruiser Pickup,Taef,Toyota,Manual,Gulf Arabic,Semi Full,2004,4.5,557,0
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Full,2008,5.3,300000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.5,92543,0
Yaris,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.5,63000,0
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,100,0
Land Cruiser,Arar,Toyota,Automatic,Gulf Arabic,Full,2006,4.6,36600,0
VTC,Qassim,Nissan,Manual,Other,Standard,2013,4.8,255,0
Yaris,Tabouk,Toyota,Automatic,Saudi,Semi Full,2016,1.5,230,0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2011,1.6,258,0
Charger,Al-Ahsa,Dodge,Automatic,Other,Standard,2006,3.5,280000,0
Hilux,Al-Ahsa,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,11000,0
FJ,Dammam,Toyota,Automatic,Saudi,Standard,2015,1.6,264000,0
Land Cruiser,Hafar Al-Batin,Toyota,Manual,Saudi,Semi Full,2004,4.6,540000,0
Yaris,Al-Baha,Toyota,Automatic,Saudi,Semi Full,2016,1.4,200,0
Fluence,Qassim,Renault,Automatic,Gulf Arabic,Full,2015,1.6,87000,0
Accord,Wadi Dawasir,Honda,Automatic,Saudi,Full,2004,2.4,5735,0
Other,Jeddah,Ford,Automatic,Saudi,Semi Full,2008,1.0,1910000,0
LX,Al-Medina,Lexus,Automatic,Saudi,Full,2016,5.7,143000,0
Optra,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2008,1.3,155,0
Tucson,Hafar Al-Batin,Hyundai,Automatic,Other,Full,2017,5.3,65000,0
Caprice,Riyadh,Chevrolet,Automatic,Unknown,Standard,2011,6.0,259000,0
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2017,2.7,159000,0
Silverado,Riyadh,Chevrolet,Manual,Saudi,Full,1997,5.3,219000,0
GX,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,4.6,53190,0
Senta fe,Dammam,Hyundai,Automatic,Saudi,Standard,2014,3.3,265,0
Flex,Dammam,Ford,Automatic,Other,Standard,2011,9.0,300000,0
F150,Qassim,Ford,Automatic,Saudi,Semi Full,2018,5.0,50000,0
Accord,Jeddah,Honda,Automatic,Saudi,Semi Full,2018,1.5,105000,0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2020,2.5,34800,0
Caprice,Riyadh,Chevrolet,Automatic,Gulf Arabic,Standard,2011,6.0,450000,0
